RUNNING IN THE 90'S
MAX COVERI
COOKIEBITE'S NORMAL
159
3 5 173 1173
2 5 930 1930
3 5 2444 3444
0 5 3201 4201
3 5 3958 4958
1 5 5472 6472
3 5 6229 7229
0 5 6986 7986
2 5 8501 9501
3 5 9257 10257
0 5 10015 11015
3 5 11529 12529
0 5 17586 18586
1 5 17964 18964
3 5 18721 19721
1 5 19100 20100
2 5 19857 20857
3 5 20614 21614
0 5 20993 21993
3 5 21750 22750
2 5 22128 23128
3 5 23643 24643
1 5 24400 25400
0 5 25157 26157
3 5 25914 26914
0 5 26671 27671
1 5 27428 28428
0 5 28185 29185
2 5 28942 29942
0 5 29699 30699
3 5 30457 31457
1 5 31214 32214
0 5 31971 32971
3 5 32728 33728
0 5 33485 34485
1 5 34242 35242
0 5 35756 36756
2 5 36513 37513
0 5 36892 37892
1 5 37270 38270
0 5 38027 39027
2 5 38595 39595
1 5 38974 39974
3 5 39352 40352
1 5 39920 40920
3 5 40299 41299
2 5 40677 41677
3 5 41056 42056
0 5 41813 42813
2 5 42570 43570
3 5 42949 43949
1 5 43327 44327
2 5 43706 44706
1 5 44084 45084
3 5 44652 45652
1 5 45031 46031
0 5 45409 46409
1 5 45977 46977
2 5 46356 47356
3 5 46734 47734
2 5 47113 48113
0 5 47870 48870
1 5 48627 49627
0 5 49384 50384
3 5 49763 50763
0 5 50141 51141
2 5 50898 51898
0 5 51655 52655
2 5 52412 53412
3 5 52791 53791
2 5 52980 53980
1 5 53927 54927
3 5 54684 55684
2 5 55441 56441
3 5 55819 56819
1 5 56198 57198
0 5 56387 57387
1 5 56955 57955
2 5 57712 58712
0 5 58469 59469
2 5 58848 59848
3 5 59226 60226
2 5 59605 60605
0 5 59983 60983
3 5 60740 61740
0 5 61308 62308
1 5 61687 62687
3 5 62633 63633
0 5 63012 64012
3 5 63580 64580
0 5 63769 64769
1 5 64337 65337
3 5 65283 66283
1 5 65662 66662
3 5 66040 67040
2 5 66797 67797
3 5 67365 68365
1 5 67744 68744
2 5 68879 69879
1 5 69447 70447
0 5 69826 70826
2 5 70393 71393
3 5 71340 72340
1 5 71718 72718
2 5 72097 73097
3 5 72854 73854
1 5 73422 74422
0 5 73800 74800
3 5 74747 75747
0 5 75125 76125
1 5 75693 76693
3 5 75882 76882
2 5 76450 77450
0 5 77397 78397
3 5 77775 78775
1 5 78154 79154
2 5 78911 79911
1 5 79479 80479
3 5 80614 81614
1 5 80993 81993
3 5 81939 82939
2 5 82507 83507
3 5 83075 84075
2 5 83832 84832
0 5 84210 85210
1 5 84968 85968
0 5 85725 86725
2 5 86482 87482
0 5 87239 88239
1 5 87996 88996
3 5 88753 89753
1 5 89510 90510
2 5 90267 91267
1 5 91024 92024
2 5 91781 92781
1 5 92539 93539
0 5 93296 94296
3 5 94053 95053
0 5 94810 95810
2 5 96324 97324
1 5 97081 98081
0 5 97460 98460
1 5 97838 98838
2 5 98595 99595
3 5 99163 100163
2 5 99542 100542
3 5 99920 100920
0 5 100488 101488
3 5 100867 101867
0 5 101245 102245
3 5 101624 102624
2 5 101813 102813
0 5 102381 103381
3 5 103138 104138
1 5 103516 104516
3 5 103895 104895
1 5 104652 105652
2 5 105220 106220
0 5 105598 106598
2 5 105977 106977
1 5 106545 107545
0 5 106923 107923
1 5 107302 108302
0 5 107680 108680
3 5 107870 108870
1 5 108438 109438
3 5 109195 110195
1 5 109952 110952
0 5 110330 111330
1 5 110709 111709
3 5 110898 111898
2 5 111466 112466
3 5 112223 113223
1 5 112602 113602
2 5 112980 113980
1 5 113359 114359
0 5 113548 114548
3 5 114494 115494
1 5 115251 116251
3 5 116009 117009
2 5 116387 117387
1 5 116766 117766
0 5 116955 117955
3 5 117523 118523
1 5 118280 119280
3 5 118658 119658
1 5 119037 120037
2 5 119416 120416
3 5 119794 120794
1 5 120173 121173
3 5 120551 121551
0 5 121308 122308
2 5 121876 122876
3 5 122255 123255
0 5 122822 123822
1 5 123201 124201
3 5 123390 124390
0 5 123580 124580
1 5 124147 125147
3 5 124337 125337
0 5 124904 125904
1 5 125283 126283
0 5 125851 126851
2 5 126229 127229
3 5 126608 127608
0 5 127365 128365
2 5 127933 128933
1 5 128311 129311
2 5 128879 129879
3 5 129258 130258
1 5 129447 130447
3 5 130015 131015
0 5 130393 131393
2 5 130961 131961
3 5 131340 132340
0 5 131908 132908
