RUNNING IN THE 90'S
MAX COVERI	
DOORMAT'S EASY
159
2 5 173 1173
3 5 930 1930
2 5 2444 3444
0 5 3201 4201
2 5 3958 4958
1 5 5472 6472
3 5 6229 7229
2 5 6986 7986
3 5 8501 9501
0 5 9258 10258
3 5 10015 11015
0 5 17586 18586
2 5 17964 18964
1 5 18343 19343
0 5 19100 20100
1 5 19478 20478
0 5 19857 20857
1 5 20614 21614
2 5 20993 21993
3 5 21750 22750
0 5 22128 23128
3 5 23643 24643
1 5 24400 25400
2 5 25157 26157
1 5 25914 26914
3 5 26671 27671
2 5 27428 28428
3 5 28185 29185
1 5 28564 29564
0 5 29321 30321
2 5 29699 30699
3 5 30457 31457
1 5 31214 32214
0 5 31971 32971
2 5 32728 33728
1 5 33485 34485
3 5 34242 35242
0 5 35756 36756
1 5 36135 37135
3 5 37270 38270
0 5 37649 38649
2 5 38785 39785
1 5 39164 40164
2 5 39920 40920
1 5 40299 41299
3 5 41056 42056
0 5 41813 42813
3 5 42192 43192
2 5 43327 44327
3 5 43706 44706
2 5 44841 45841
3 5 45220 46220
2 5 45977 46977
3 5 46356 47356
2 5 47113 48113
3 5 47870 48870
0 5 48248 49248
3 5 48627 49627
2 5 49384 50384
0 5 49763 50763
1 5 50141 51141
0 5 51277 52277
2 5 51655 52655
1 5 52412 53412
2 5 53927 54927
1 5 54684 55684
3 5 55441 56441
1 5 55819 56819
3 5 56198 57198
2 5 57333 58333
1 5 57712 58712
3 5 58469 59469
0 5 58847 59847
2 5 59226 60226
3 5 59605 60605
0 5 59983 60983
3 5 60740 61740
2 5 61687 62687
1 5 62633 63633
2 5 63012 64012
1 5 63769 64769
2 5 65283 66283
3 5 65662 66662
0 5 66040 67040
3 5 66797 67797
0 5 67744 68744
3 5 68879 69879
2 5 69826 70826
0 5 71340 72340
2 5 71718 72718
0 5 72097 73097
1 5 72854 73854
0 5 73800 74800
3 5 74747 75747
1 5 75125 76125
3 5 75504 76504
0 5 75882 76882
2 5 77397 78397
0 5 77775 78775
3 5 78154 79154
2 5 78911 79911
0 5 79857 80857
3 5 80993 81993
2 5 81939 82939
1 5 82696 83696
2 5 96324 97324
0 5 96703 97703
1 5 97081 98081
3 5 98217 99217
0 5 98595 99595
2 5 99542 100542
3 5 99920 100920
1 5 100867 101867
2 5 101246 102246
0 5 101624 102624
2 5 102381 103381
0 5 102759 103759
2 5 103138 104138
3 5 104274 105274
2 5 104652 105652
0 5 105598 106598
3 5 105977 106977
0 5 106923 107923
2 5 107302 108302
0 5 107680 108680
3 5 108438 109438
1 5 108816 109816
2 5 109195 110195
3 5 109952 110952
0 5 110330 111330
1 5 110709 111709
0 5 111466 112466
3 5 111845 112845
2 5 112223 113223
1 5 112980 113980
2 5 114494 115494
0 5 114873 115873
2 5 115251 116251
1 5 116009 117009
0 5 116387 117387
3 5 116766 117766
0 5 117523 118523
3 5 118280 119280
0 5 119037 120037
2 5 119415 120415
1 5 119794 120794
0 5 120172 121172
1 5 120551 121551
3 5 121308 122308
2 5 122255 123255
0 5 123201 124201
1 5 123580 124580
3 5 124337 125337
2 5 125851 126851
0 5 126229 127229
1 5 126608 127608
2 5 127365 128365
3 5 128311 129311
0 5 129447 130447
2 5 130393 131393
1 5 131908 132908
3 5 132287 133287
2 5 132665 133665
3 5 133044 134044
2 5 133422 134422
3 5 134368 135368
2 5 135315 136315
0 5 135693 136693
3 5 136450 137450
0 5 137964 138964
3 5 138343 139343
1 5 138721 139721
3 5 139100 140100
2 5 139479 140479
0 5 140425 141425
2 5 141561 142561
0 5 142507 143507
1 5 143264 144264
2 5 150835 151835
0 5 151592 152592
1 5 152349 153349
3 5 153863 154863
0 5 154621 155621
1 5 155378 156378
3 5 161434 162434
0 5 161813 162813
3 5 162192 163192
2 5 167491 168491
0 5 167870 168870
2 5 168249 169249
0 5 169005 170005
1 5 169384 170384
2 5 170520 171520
0 5 172034 173034
1 5 172412 173412
3 5 173548 174548
2 5 173927 174927
1 5 174305 175305
0 5 174683 175683
2 5 175062 176062
0 5 175441 176441
1 5 176576 177576
0 5 178091 179091
3 5 178469 179469
0 5 179605 180605
1 5 179983 180983
2 5 180362 181362
3 5 180740 181740
2 5 181119 182119
1 5 181876 182876
0 5 182822 183822
3 5 183769 184769
1 5 184147 185147
2 5 184904 185904
1 5 186419 187419
3 5 186797 187797
0 5 187176 188176
2 5 187933 188933
0 5 188879 189879
1 5 190015 191015
2 5 190961 191961
1 5 192475 193475
2 5 192854 193854
1 5 193232 194232
0 5 193611 194611
3 5 193990 194990
2 5 194936 195936
3 5 195882 196882
2 5 196261 197261
0 5 197018 198018
1 5 198532 199532
3 5 198910 199910
2 5 199289 200289
3 5 199668 200668
0 5 200046 201046
2 5 200993 201993
3 5 202128 203128
2 5 203075 204075
3 5 203832 204832
2 5 211403 212403
3 5 212160 213160
2 5 212539 213539
1 5 212917 213917
2 5 213674 214674
1 5 214431 215431
0 5 215188 216188
1 5 215567 216567
2 5 215945 216945
0 5 217460 218460
1 5 217838 218838
0 5 219002 220002
1 5 219389 220389
2 5 219776 220776
3 5 220550 221550
