RUNNING IN THE 90'S
MAX COVERI
FINAL STAGE
159
1 5 173 1173
3 5 551 1551
0 5 930 1930
2 5 1308 2308
0 5 1687 2687
1 5 2065 3065
2 5 2444 3444
1 5 2822 3822
0 5 3201 4201
1 5 3579 4579
3 5 3958 4958
0 5 4337 5337
2 5 4715 5715
1 5 5094 6094
0 5 5472 6472
1 5 5851 6851
0 5 6229 7229
1 5 6608 7608
3 5 6986 7986
1 5 7365 8365
3 5 7744 8744
1 5 8122 9122
2 5 8501 9501
1 5 8879 9879
0 5 9258 10258
2 5 9636 10636
3 5 10015 11015
0 5 10393 11393
1 5 10772 11772
0 5 11151 12151
3 5 11529 12529
1 5 17586 18586
2 5 17775 18775
0 5 17964 18964
3 5 18059 19059
1 5 18154 19154
2 5 18343 19343
0 5 18532 19532
2 5 18721 19721
3 5 18816 19816
2 5 18911 19911
3 5 19100 20100
2 5 19289 20289
1 5 19384 20384
0 5 19573 20573
3 5 19668 20668
1 5 19857 20857
2 5 20046 21046
0 5 20141 21141
3 5 20330 21330
1 5 20425 21425
0 5 20614 21614
1 5 20804 21804
2 5 20993 21993
1 5 21087 22087
3 5 21183 22183
1 5 21371 22371
3 5 21561 22561
2 5 21750 22750
3 5 21845 22845
1 5 21940 22940
3 5 22128 23128
1 5 22318 23318
3 5 22507 23507
1 5 22696 23696
0 5 22886 23886
1 5 23076 24076
3 5 23265 24265
0 5 23454 24454
3 5 23643 24643
0 5 23832 24832
3 5 23927 24927
0 5 24021 25021
1 5 24116 25116
0 5 24210 25210
2 5 24400 25400
3 5 24589 25589
0 5 24684 25684
1 5 24778 25778
0 5 24873 25873
1 5 24968 25968
2 5 25157 26157
3 5 25251 26251
2 5 25346 26346
0 5 25441 26441
2 5 25630 26630
0 5 25725 26725
3 5 25914 26914
1 5 26009 27009
2 5 26103 27103
3 5 26198 27198
0 5 26387 27387
2 5 26482 27482
1 5 26671 27671
2 5 26860 27860
1 5 26955 27955
2 5 27050 28050
1 5 27145 28145
3 5 27239 28239
1 5 27428 28428
3 5 27617 28617
1 5 27712 28712
0 5 27807 28807
2 5 27901 28901
0 5 27996 28996
1 5 28185 29185
3 5 28280 29280
0 5 28469 29469
3 5 28564 29564
0 5 28753 29753
3 5 28942 29942
1 5 29037 30037
2 5 29226 30226
0 5 29321 30321
2 5 29416 30416
3 5 29510 30510
1 5 29605 30605
2 5 29699 30699
1 5 29889 30889
2 5 29983 30983
1 5 30078 31078
2 5 30172 31172
3 5 30267 31267
2 5 30457 31457
1 5 30646 31646
0 5 30740 31740
2 5 30835 31835
0 5 30930 31930
1 5 31024 32024
0 5 31214 32214
3 5 31308 32308
0 5 31403 32403
1 5 31498 32498
3 5 31687 32687
2 5 31781 32781
1 5 31971 32971
3 5 32065 33065
1 5 32160 33160
2 5 32255 33255
3 5 32444 33444
2 5 32539 33539
3 5 32728 33728
2 5 32917 33917
0 5 33012 34012
2 5 33106 34106
1 5 33201 34201
0 5 33296 34296
3 5 33485 34485
2 5 33674 34674
3 5 33769 34769
1 5 33864 34864
3 5 33958 34958
2 5 34053 35053
0 5 34242 35242
2 5 34431 35431
1 5 34621 35621
3 5 34810 35810
1 5 34999 35999
3 5 35188 36188
0 5 35378 36378
3 5 35567 36567
0 5 35756 36756
1 5 36135 37135
3 5 36419 37419
1 5 36513 37513
3 5 36703 37703
2 5 36892 37892
0 5 37082 38082
1 5 37270 38270
2 5 37649 38649
1 5 37933 38933
3 5 38027 39027
0 5 38217 39217
3 5 38406 39406
1 5 38595 39595
2 5 38879 39879
3 5 38974 39974
2 5 39258 40258
1 5 39352 40352
3 5 39542 40542
1 5 39731 40731
3 5 39920 40920
2 5 40109 41109
1 5 40299 41299
0 5 40677 41677
2 5 41056 42056
3 5 41245 42245
0 5 41624 42624
1 5 41813 42813
0 5 42097 43097
3 5 42192 43192
0 5 42381 43381
1 5 42570 43570
3 5 42759 43759
0 5 43043 44043
1 5 43138 44138
3 5 43327 44327
1 5 43611 44611
0 5 43706 44706
3 5 43895 44895
2 5 44084 45084
0 5 44274 45274
3 5 44557 45557
0 5 44652 45652
2 5 44841 45841
3 5 45125 46125
0 5 45220 46220
2 5 45409 46409
0 5 45598 46598
2 5 45788 46788
3 5 45977 46977
2 5 46166 47166
3 5 46356 47356
2 5 46734 47734
0 5 47113 48113
2 5 47302 48302
0 5 47680 48680
3 5 47870 48870
2 5 48248 49248
1 5 48532 49532
3 5 48627 49627
1 5 48816 49816
2 5 49005 50005
3 5 49289 50289
1 5 49384 50384
3 5 49573 50573
1 5 49763 50763
3 5 49952 50952
1 5 50141 51141
0 5 50330 51330
3 5 50614 51614
1 5 50709 51709
2 5 50898 51898
1 5 51182 52182
0 5 51277 52277
2 5 51561 52561
0 5 51655 52655
3 5 51845 52845
0 5 52034 53034
3 5 52318 53318
2 5 52412 53412
1 5 52696 53696
2 5 52791 53791
0 5 52980 53980
2 5 53264 54264
1 5 53359 54359
3 5 53548 54548
1 5 53737 54737
3 5 53927 54927
0 5 54210 55210
1 5 54305 55305
3 5 54589 55589
0 5 54684 55684
3 5 54873 55873
0 5 55062 56062
2 5 55346 56346
3 5 55441 56441
1 5 55630 56630
0 5 55819 56819
2 5 56009 57009
3 5 56198 57198
2 5 56387 57387
