RUNNING IN THE 90'S
MAX COVERI
GERO'S HARD
159
3 5 173 1173
1 5 551 1551
3 5 930 1930
2 5 1308 2308
1 5 1687 2687
2 5 2065 3065
1 5 2444 3444
2 5 2822 3822
3 5 3201 4201
1 5 3580 4580
2 5 3958 4958
1 5 4337 5337
2 5 4715 5715
3 5 5094 6094
0 5 5472 6472
3 5 5851 6851
1 5 6229 7229
3 5 6608 7608
2 5 6986 7986
1 5 7365 8365
0 5 7744 8744
2 5 8122 9122
0 5 8501 9501
3 5 8690 9690
2 5 8879 9879
1 5 9258 10258
0 5 9447 10447
1 5 9636 10636
2 5 10015 11015
0 5 10393 11393
1 5 10772 11772
3 5 11151 12151
0 5 11529 12529
1 5 22128 23128
0 5 23643 24643
1 5 24021 25021
0 5 24400 25400
2 5 24778 25778
1 5 25157 26157
2 5 25914 26914
1 5 26671 27671
3 5 27050 28050
2 5 27428 28428
1 5 27807 28807
2 5 28185 29185
1 5 28564 29564
0 5 28942 29942
3 5 29321 30321
2 5 29699 30699
1 5 30078 31078
3 5 30267 31267
1 5 30457 31457
2 5 30835 31835
3 5 31024 32024
1 5 31214 32214
0 5 31971 32971
3 5 32728 33728
1 5 33106 34106
2 5 33296 34296
3 5 33485 34485
2 5 33863 34863
0 5 34053 35053
2 5 34242 35242
0 5 34337 35337
3 5 35756 36756
1 5 36135 37135
0 5 36513 37513
1 5 36703 37703
3 5 37270 38270
2 5 37649 38649
0 5 38027 39027
3 5 38217 39217
1 5 38595 39595
0 5 39163 40163
1 5 39352 40352
3 5 39920 40920
0 5 40110 41110
3 5 40299 41299
2 5 41245 42245
1 5 41624 42624
3 5 41813 42813
2 5 42192 43192
3 5 42570 43570
0 5 42759 43759
1 5 43138 44138
0 5 43233 44233
3 5 43327 44327
2 5 43895 44895
3 5 44084 45084
1 5 44274 45274
0 5 44652 45652
3 5 45220 46220
0 5 45409 46409
1 5 45977 46977
2 5 46166 47166
1 5 46356 47356
3 5 47302 48302
0 5 47680 48680
1 5 47871 48871
2 5 48816 49816
3 5 49005 50005
1 5 49384 50384
3 5 49763 50763
0 5 50141 51141
2 5 50330 51330
0 5 50898 51898
3 5 51845 52845
1 5 52034 53034
3 5 52223 53223
1 5 52318 53318
0 5 52412 53412
1 5 52980 53980
2 5 53548 54548
3 5 53737 54737
0 5 53927 54927
1 5 54494 55494
3 5 54684 55684
0 5 55062 56062
3 5 55441 56441
1 5 55630 56630
3 5 55819 56819
2 5 56009 57009
1 5 56198 57198
2 5 56387 57387
1 5 56955 57955
2 5 57901 58901
1 5 58091 59091
2 5 58469 59469
1 5 58848 59848
2 5 59226 60226
1 5 59605 60605
0 5 59983 60983
2 5 60551 61551
1 5 60740 61740
2 5 61308 62308
1 5 61687 62687
2 5 62065 63065
1 5 62255 63255
2 5 62444 63444
0 5 62539 63539
3 5 62633 63633
1 5 62822 63822
3 5 63012 64012
1 5 63580 64580
0 5 63769 64769
2 5 64337 65337
1 5 64904 65904
3 5 65094 66094
1 5 65188 66188
0 5 65283 66283
2 5 65662 66662
0 5 66040 67040
3 5 66608 67608
1 5 66797 67797
0 5 67365 68365
3 5 67744 68744
0 5 68311 69311
3 5 68501 69501
1 5 68595 69595
0 5 68690 69690
3 5 68879 69879
1 5 69447 70447
3 5 69826 70826
1 5 70393 71393
2 5 70961 71961
1 5 71340 72340
2 5 71718 72718
1 5 71813 72813
2 5 71908 72908
0 5 72002 73002
