RUNNING IN THE 90'S
MAX COVERI
NINO'S INSANE
159
3 5 173 1173
0 5 362 1362
3 5 551 1551
1 5 930 1930
2 5 1119 2119
1 5 1308 2308
0 5 1498 2498
2 5 1687 2687
1 5 1876 2876
2 5 2065 3065
1 5 2255 3255
0 5 2444 3444
3 5 2633 3633
0 5 2822 3822
1 5 3201 4201
2 5 3390 4390
3 5 3580 4580
0 5 3958 4958
1 5 4147 5147
3 5 4337 5337
1 5 4526 5526
3 5 4715 5715
0 5 4904 5904
3 5 5094 6094
1 5 5283 6283
3 5 5472 6472
1 5 5661 6661
3 5 5851 6851
2 5 6229 7229
0 5 6418 7418
2 5 6608 7608
0 5 6986 7986
2 5 7176 8176
0 5 7365 8365
2 5 7554 8554
0 5 7744 8744
1 5 7933 8933
3 5 8122 9122
0 5 8311 9311
1 5 8501 9501
3 5 8690 9690
0 5 8879 9879
1 5 9258 10258
3 5 9447 10447
2 5 9636 10636
3 5 10015 11015
2 5 10204 11204
1 5 10393 11393
3 5 10583 11583
0 5 10772 11772
2 5 10961 11961
3 5 11151 12151
0 5 11339 12339
2 5 11529 12529
3 5 22128 23128
1 5 22507 23507
0 5 22886 23886
1 5 23264 24264
0 5 23643 24643
2 5 23832 24832
0 5 23926 24926
3 5 24021 25021
2 5 24115 25115
3 5 24210 25210
2 5 24400 25400
3 5 24589 25589
1 5 24683 25683
0 5 24778 25778
1 5 24872 25872
0 5 24968 25968
2 5 25157 26157
1 5 25251 26251
0 5 25441 26441
1 5 25630 26630
2 5 25724 26724
3 5 25914 26914
2 5 26008 27008
0 5 26103 27103
2 5 26198 27198
0 5 26387 27387
3 5 26482 27482
1 5 26671 27671
3 5 26860 27860
0 5 26954 27954
2 5 27049 28049
3 5 27143 28143
1 5 27239 28239
3 5 27428 28428
0 5 27617 28617
2 5 27711 28711
0 5 27806 28806
1 5 27900 28900
3 5 27996 28996
0 5 28185 29185
1 5 28280 29280
0 5 28469 29469
1 5 28564 29564
2 5 28753 29753
1 5 28942 29942
0 5 29037 30037
3 5 29227 30227
2 5 29321 30321
1 5 29510 30510
0 5 29699 30699
2 5 29889 30889
0 5 29983 30983
3 5 30078 31078
0 5 30172 31172
2 5 30267 31267
3 5 30457 31457
0 5 30646 31646
2 5 30740 31740
3 5 30835 31835
0 5 30929 31929
1 5 31024 32024
0 5 31214 32214
2 5 31308 32308
3 5 31498 32498
1 5 31687 32687
2 5 31781 32781
0 5 31971 32971
1 5 32065 33065
2 5 32255 33255
0 5 32444 33444
3 5 32539 33539
0 5 32728 33728
3 5 32917 33917
1 5 33011 34011
3 5 33106 34106
1 5 33200 34200
2 5 33296 34296
3 5 33485 34485
2 5 33674 34674
3 5 33768 34768
0 5 33863 34863
2 5 33957 34957
3 5 34053 35053
1 5 34242 35242
3 5 34621 35621
1 5 34999 35999
3 5 35378 36378
2 5 35756 36756
1 5 36135 37135
0 5 36513 37513
2 5 36703 37703
0 5 36892 37892
3 5 37176 38176
1 5 37270 38270
0 5 37649 38649
2 5 38027 39027
0 5 38217 39217
1 5 38595 39595
3 5 38690 39690
