RUNNING IN THE 90'S
MAX COVERI
SCHOOLBOY'S EXTRA
159
1 5 78 1078
0 5 173 1173
2 5 551 1551
3 5 835 1835
1 5 930 1930
0 5 1308 2308
1 5 1687 2687
3 5 2065 3065
1 5 2444 3444
2 5 2822 3822
3 5 3106 4106
0 5 3200 4200
2 5 3580 4580
0 5 3863 4863
3 5 3958 4958
0 5 4337 5337
1 5 4715 5715
3 5 5094 6094
0 5 5472 6472
3 5 5851 6851
1 5 6135 7135
2 5 6229 7229
1 5 6608 7608
2 5 6892 7892
1 5 6986 7986
2 5 7365 8365
0 5 7744 8744
2 5 8122 9122
1 5 8501 9501
0 5 8879 9879
1 5 9163 10163
3 5 9258 10258
1 5 9636 10636
3 5 9920 10920
0 5 10015 11015
2 5 10393 11393
1 5 10772 11772
0 5 11151 12151
3 5 11529 12529
1 5 17586 18586
3 5 17870 18870
0 5 17964 18964
1 5 18343 19343
0 5 18627 19627
1 5 18721 19721
3 5 18911 19911
2 5 19100 20100
3 5 19385 20385
1 5 19479 20479
2 5 19857 20857
3 5 20141 21141
1 5 20236 21236
0 5 20614 21614
2 5 20804 21804
0 5 20898 21898
3 5 20993 21993
0 5 21371 22371
2 5 21655 22655
1 5 21750 22750
2 5 21939 22939
1 5 22128 23128
2 5 22318 23318
3 5 22507 23507
0 5 22696 23696
2 5 22886 23886
3 5 23075 24075
0 5 23264 24264
3 5 23453 24453
1 5 23643 24643
2 5 23832 24832
0 5 23927 24927
3 5 24021 25021
0 5 24210 25210
2 5 24400 25400
3 5 24589 25589
0 5 24684 25684
2 5 24778 25778
1 5 24968 25968
0 5 25157 26157
2 5 25251 26251
1 5 25441 26441
0 5 25725 26725
2 5 25914 26914
1 5 26009 27009
3 5 26198 27198
2 5 26482 27482
0 5 26671 27671
1 5 26860 27860
0 5 26955 27955
2 5 27050 28050
3 5 27239 28239
1 5 27428 28428
0 5 27617 28617
2 5 27712 28712
0 5 27807 28807
2 5 27996 28996
3 5 28185 29185
1 5 28280 29280
2 5 28469 29469
0 5 28564 29564
1 5 28753 29753
3 5 28942 29942
0 5 29037 30037
2 5 29321 30321
3 5 29416 30416
1 5 29510 30510
3 5 29605 30605
2 5 29699 30699
0 5 29889 30889
3 5 29983 30983
2 5 30078 31078
1 5 30267 31267
0 5 30457 31457
3 5 30646 31646
1 5 30741 31741
2 5 30836 31836
0 5 31024 32024
1 5 31214 32214
3 5 31308 32308
1 5 31498 32498
2 5 31781 32781
0 5 31971 32971
3 5 32065 33065
2 5 32255 33255
1 5 32539 33539
3 5 32728 33728
2 5 32917 33917
0 5 33012 34012
3 5 33106 34106
0 5 33296 34296
3 5 33485 34485
1 5 33674 34674
0 5 33769 34769
3 5 33863 34863
2 5 34053 35053
1 5 34242 35242
0 5 34431 35431
3 5 34621 35621
1 5 34810 35810
3 5 34999 35999
2 5 35188 36188
3 5 35378 36378
2 5 35567 36567
0 5 35756 36756
3 5 36040 37040
0 5 36135 37135
2 5 36513 37513
0 5 36703 37703
3 5 37081 38081
2 5 37176 38176
3 5 37270 38270
2 5 37554 38554
0 5 37649 38649
1 5 38027 39027
3 5 38217 39217
0 5 38595 39595
1 5 38690 39690
3 5 38785 39785
2 5 39068 40068
1 5 39163 40163
0 5 39542 40542
3 5 39731 40731
2 5 39920 40920
0 5 40110 41110
2 5 40299 41299
3 5 40677 41677
0 5 41056 42056
3 5 41245 42245
2 5 41813 42813
1 5 42097 43097
0 5 42192 43192
2 5 42570 43570
3 5 42759 43759
0 5 43138 44138
3 5 43233 44233
0 5 43327 44327
1 5 43611 44611
2 5 43706 44706
3 5 44084 45084
1 5 44274 45274
3 5 44652 45652
0 5 44747 45747
3 5 44841 45841
1 5 45125 46125
0 5 45220 46220
2 5 45598 46598
3 5 45977 46977
0 5 46356 47356
3 5 46734 47734
1 5 47113 48113
3 5 47302 48302
2 5 47870 48870
0 5 48154 49154
2 5 48248 49248
1 5 48627 49627
0 5 48816 49816
3 5 49005 50005
1 5 49289 50289
3 5 49384 50384
2 5 49573 50573
1 5 49763 50763
3 5 49952 50952
0 5 50141 51141
2 5 50330 51330
1 5 50520 51520
2 5 50709 51709
1 5 50898 51898
2 5 51182 52182
1 5 51277 52277
0 5 51655 52655
1 5 51845 52845
0 5 52034 53034
1 5 52318 53318
0 5 52412 53412
2 5 52696 53696
3 5 52791 53791
1 5 52980 53980
0 5 53359 54359
1 5 53548 54548
3 5 53832 54832
0 5 53927 54927
1 5 54210 55210
0 5 54305 55305
2 5 54589 55589
1 5 54684 55684
0 5 54873 55873
1 5 55062 56062
2 5 55346 56346
3 5 55441 56441
2 5 55630 56630
1 5 55819 56819
2 5 56009 57009
1 5 56198 57198
3 5 56387 57387
1 5 56576 57576
0 5 56766 57766
2 5 56955 57955
1 5 57333 58333
3 5 57712 58712
0 5 57901 58901
2 5 58091 59091
1 5 58469 59469
3 5 58848 59848
1 5 59226 60226
0 5 59605 60605
1 5 59983 60983
2 5 60267 61267
1 5 60362 61362
2 5 60646 61646
1 5 60740 61740
0 5 61024 62024
3 5 61119 62119
2 5 61308 62308
3 5 61498 62498
0 5 61687 62687
2 5 61971 62971
1 5 62065 63065
0 5 62255 63255
1 5 62539 63539
2 5 62633 63633
0 5 62822 63822
3 5 63012 64012
2 5 63296 64296
1 5 63390 64390
0 5 63674 64674
3 5 63769 64769
1 5 64053 65053
3 5 64147 65147
1 5 64337 65337
3 5 64526 65526
0 5 64715 65715
3 5 64810 65810
0 5 64904 65904
2 5 65094 66094
3 5 65189 66189
2 5 65283 66283
0 5 65567 66567
1 5 65662 66662
0 5 66040 67040
1 5 66324 67324
2 5 66419 67419
1 5 66703 67703
0 5 66797 67797
2 5 67081 68081
3 5 67176 68176
2 5 67365 68365
0 5 67554 68554
3 5 67744 68744
0 5 68027 69027
2 5 68122 69122
0 5 68311 69311
3 5 68595 69595
2 5 68690 69690
1 5 68879 69879
3 5 69068 70068
0 5 69258 70258
2 5 69352 70352
3 5 69447 70447
1 5 69636 70636
3 5 69730 70730
1 5 69826 70826
2 5 70110 71110
3 5 70204 71204
1 5 70488 71488
0 5 70583 71583
3 5 70867 71867
0 5 70961 71961
1 5 71151 72151
0 5 71340 72340
3 5 71529 72529
0 5 71718 72718
1 5 71813 72813
0 5 71908 72908
2 5 72002 73002
1 5 72097 73097
2 5 72381 73381
1 5 72475 73475
3 5 72759 73759
2 5 72853 73853
1 5 73138 74138
0 5 73233 74233
3 5 73422 74422
2 5 73611 74611
3 5 73800 74800
1 5 74084 75084
0 5 74179 75179
3 5 74368 75368
2 5 74652 75652
1 5 74747 75747
2 5 74936 75936
0 5 75125 76125
3 5 75409 76409
0 5 75504 76504
2 5 75788 76788
0 5 75882 76882
3 5 76166 77166
1 5 76261 77261
3 5 76450 77450
0 5 76639 77639
2 5 76829 77829
1 5 76923 77923
2 5 77018 78018
0 5 77207 78207
1 5 77301 78301
3 5 77397 78397
2 5 77680 78680
3 5 77775 78775
1 5 78154 79154
3 5 78438 79438
1 5 78532 79532
2 5 78816 79816
0 5 78911 79911
3 5 79195 80195
2 5 79289 80289
0 5 79479 80479
3 5 79668 80668
1 5 79857 80857
2 5 80141 81141
1 5 80236 81236
3 5 80425 81425
1 5 80709 81709
0 5 80804 81804
2 5 80993 81993
0 5 81182 82182
1 5 81371 82371
2 5 81466 82466
0 5 81561 82561
1 5 81750 82750
2 5 81845 82845
3 5 81939 82939
1 5 82223 83223
2 5 82318 83318
0 5 82507 83507
3 5 82886 83886
1 5 82980 83980
0 5 83075 84075
1 5 83453 84453
0 5 84210 85210
2 5 84400 85400
3 5 84494 85494
1 5 84589 85589
3 5 84778 85778
0 5 84968 85968
3 5 85157 86157
1 5 85251 86251
0 5 85346 86346
2 5 85535 86535
3 5 85725 86725
0 5 85819 86819
1 5 86009 87009
2 5 86292 87292
0 5 86482 87482
3 5 86576 87576
1 5 86766 87766
3 5 87050 88050
0 5 87239 88239
2 5 87428 88428
3 5 87523 88523
1 5 87617 88617
2 5 87807 88807
1 5 87996 88996
2 5 88185 89185
1 5 88280 89280
3 5 88374 89374
2 5 88564 89564
1 5 88753 89753
0 5 88848 89848
2 5 89037 90037
1 5 89132 90132
0 5 89321 90321
3 5 89510 90510
1 5 89605 90605
0 5 89889 90889
2 5 89983 90983
3 5 90078 91078
1 5 90173 91173
0 5 90267 91267
2 5 90457 91457
3 5 90551 91551
1 5 90646 91646
0 5 90835 91835
2 5 91024 92024
1 5 91214 92214
3 5 91308 92308
2 5 91403 92403
3 5 91592 92592
1 5 91781 92781
3 5 91876 92876
2 5 92065 93065
0 5 92349 93349
1 5 92539 93539
2 5 92633 93633
3 5 92822 93822
1 5 93106 94106
3 5 93296 94296
2 5 93485 94485
3 5 93580 94580
0 5 93674 94674
2 5 93863 94863
1 5 94053 95053
2 5 94242 95242
0 5 94337 95337
1 5 94431 95431
2 5 94621 95621
0 5 94810 95810
1 5 94999 95999
3 5 95188 96188
1 5 95378 96378
0 5 95567 96567
2 5 95757 96757
1 5 95946 96946
2 5 96135 97135
3 5 96324 97324
2 5 96608 97608
1 5 96703 97703
0 5 97081 98081
1 5 97270 98270
3 5 97649 98649
0 5 97744 98744
2 5 97838 98838
3 5 98122 99122
2 5 98216 99216
3 5 98595 99595
2 5 98785 99785
3 5 99163 100163
1 5 99258 100258
2 5 99352 100352
1 5 99636 100636
2 5 99731 100731
1 5 100110 101110
0 5 100299 101299
1 5 100488 101488
2 5 100677 101677
1 5 100867 101867
2 5 101245 102245
3 5 101624 102624
2 5 101813 102813
0 5 102381 103381
3 5 102665 103665
0 5 102759 103759
3 5 103138 104138
1 5 103327 104327
0 5 103706 104706
3 5 103800 104800
0 5 103895 104895
2 5 104179 105179
0 5 104273 105273
1 5 104652 105652
3 5 104841 105841
2 5 105220 106220
1 5 105315 106315
0 5 105409 106409
3 5 105693 106693
1 5 105788 106788
3 5 106166 107166
0 5 106356 107356
3 5 106545 107545
0 5 106734 107734
2 5 106923 107923
3 5 107302 108302
2 5 107680 108680
1 5 107870 108870
3 5 108438 109438
0 5 108721 109721
3 5 108816 109816
1 5 109195 110195
2 5 109384 110384
0 5 109573 110573
1 5 109857 110857
2 5 109952 110952
1 5 110141 111141
0 5 110330 111330
1 5 110520 111520
3 5 110709 111709
2 5 110898 111898
1 5 111087 112087
2 5 111277 112277
3 5 111466 112466
2 5 111750 112750
3 5 111845 112845
0 5 112223 113223
1 5 112412 113412
3 5 112602 113602
0 5 112886 113886
2 5 112980 113980
3 5 113264 114264
1 5 113359 114359
0 5 113548 114548
2 5 113927 114927
0 5 114116 115116
1 5 114400 115400
2 5 114494 115494
3 5 114778 115778
2 5 114873 115873
3 5 115157 116157
2 5 115251 116251
0 5 115441 116441
1 5 115630 116630
2 5 115914 116914
1 5 116009 117009
0 5 116198 117198
3 5 116387 117387
0 5 116576 117576
1 5 116766 117766
0 5 116955 117955
2 5 117144 118144
1 5 117333 118333
0 5 117523 118523
1 5 117807 118807
3 5 117901 118901
2 5 118280 119280
0 5 118469 119469
1 5 118658 119658
2 5 119037 120037
