Starlight (feat. Ronnie Atkins)
Avantasia
Guide Light
99568
1 5 79 1079
2 5 79 1079
3 5 79 1079
3 5 235 1235
0 5 390 1390
3 5 390 1390
0 5 545 1545
1 5 545 1545
2 5 701 1701
3 5 701 1701
2 5 1012 2012
3 5 1012 2012
2 5 1167 2167
3 5 1167 2167
0 5 1323 2323
1 5 1323 2323
2 5 1323 2323
1 5 1478 2478
0 5 1634 2634
3 5 1634 2634
0 5 1789 2789
3 5 1789 2789
0 5 1944 2944
2 5 1944 2944
3 5 1944 2944
1 5 2100 3100
3 5 2255 3255
3 5 2411 3411
0 5 2566 3566
1 5 2566 3566
2 5 2566 3566
2 5 2722 3722
2 5 2877 3877
3 5 2877 3877
0 5 3033 4033
3 5 3033 4033
1 5 3188 4188
2 5 3188 4188
1 5 3499 4499
3 5 3499 4499
1 5 3654 4654
3 5 3654 4654
0 5 3810 4810
2 5 3810 4810
3 5 3810 4810
0 5 3965 4965
1 5 3965 4965
1 5 4121 5121
3 5 4121 5121
1 5 4276 5276
3 5 4276 5276
0 5 4431 5431
2 5 4431 5431
3 5 4431 5431
2 5 4587 5587
0 5 4742 5742
0 5 4898 5898
1 5 5053 6053
2 5 5053 6053
3 5 5053 6053
1 5 5209 6209
1 5 5364 6364
3 5 5364 6364
0 5 5520 6520
3 5 5520 6520
1 5 5675 6675
2 5 5675 6675
1 5 5986 6986
2 5 5986 6986
1 5 6141 7141
2 5 6141 7141
0 5 6297 7297
1 5 6297 7297
3 5 6297 7297
0 5 6452 7452
2 5 6452 7452
2 5 6608 7608
3 5 6608 7608
2 5 6763 7763
3 5 6763 7763
0 5 6919 7919
1 5 6919 7919
3 5 6919 7919
0 5 7074 8074
2 5 7229 8229
2 5 7385 8385
0 5 7540 8540
1 5 7540 8540
3 5 7540 8540
1 5 7696 8696
1 5 7851 8851
3 5 7851 8851
2 5 8007 9007
3 5 8007 9007
0 5 8162 9162
1 5 8162 9162
0 5 8473 9473
3 5 8473 9473
0 5 8628 9628
3 5 8628 9628
0 5 8784 9784
1 5 8784 9784
2 5 8784 9784
1 5 8939 9939
3 5 8939 9939
0 5 9095 10095
3 5 9095 10095
0 5 9250 10250
3 5 9250 10250
0 5 9406 10406
1 5 9406 10406
2 5 9406 10406
2 5 9561 10561
0 5 9716 10716
0 5 9872 10872
1 5 10027 11027
2 5 10027 11027
3 5 10027 11027
1 5 10183 11183
0 5 10338 11338
1 5 10338 11338
0 5 10494 11494
3 5 10494 11494
0 5 10649 11649
2 5 10649 11649
2 5 10960 11960
3 5 10960 11960
2 5 11115 12115
3 5 11115 12115
0 5 11271 12271
1 5 11271 12271
3 5 11271 12271
1 5 11426 12426
2 5 11582 12582
3 5 11582 12582
2 5 11737 12737
3 5 11737 12737
1 5 11893 12893
2 5 11893 12893
3 5 11893 12893
0 5 12048 13048
2 5 12203 13203
2 5 12359 13359
0 5 12514 13514
1 5 12514 13514
3 5 12514 13514
1 5 12670 13670
1 5 12825 13825
3 5 12825 13825
2 5 12981 13981
3 5 12981 13981
0 5 13136 14136
3 5 13136 14136
0 5 13447 14447
3 5 13447 14447
0 5 13602 14602
3 5 13602 14602
0 5 13758 14758
1 5 13758 14758
2 5 13758 14758
1 5 13913 14913
3 5 13913 14913
2 5 14069 15069
3 5 14069 15069
2 5 14224 15224
3 5 14224 15224
0 5 14380 15380
1 5 14380 15380
2 5 14380 15380
0 5 14535 15535
3 5 14691 15691
3 5 14846 15846
0 5 15001 16001
1 5 15001 16001
3 5 15001 16001
1 5 15157 16157
1 5 15312 16312
2 5 15312 16312
2 5 15468 16468
3 5 15468 16468
0 5 15623 16623
2 5 15623 16623
2 5 15934 16934
3 5 15934 16934
2 5 16090 17090
3 5 16090 17090
0 5 16245 17245
1 5 16245 17245
3 5 16245 17245
1 5 16400 17400
2 5 16400 17400
0 5 16556 17556
2 5 16556 17556
0 5 16711 17711
2 5 16711 17711
0 5 16867 17867
1 5 16867 17867
2 5 16867 17867
3 5 17022 18022
0 5 17178 18178
0 5 17333 18333
0 5 17488 18488
1 5 17488 18488
3 5 17488 18488
1 5 17644 18644
1 5 17799 18799
3 5 17799 18799
2 5 17955 18955
3 5 17955 18955
0 5 18110 19110
3 5 18110 19110
0 5 18421 19421
3 5 18421 19421
0 5 18577 19577
3 5 18577 19577
2 5 18654 19654
0 5 18732 19732
1 5 18732 19732
3 5 18732 19732
3 5 18887 19887
2 5 18965 19965
0 5 19043 20043
1 5 19043 20043
0 5 19198 20198
3 5 19354 20354
3 5 19509 20509
0 5 19665 20665
0 5 19820 20820
3 5 19976 20976
3 5 20131 21131
0 5 20286 21286
0 5 20442 21442
3 5 20597 21597
3 5 20753 21753
0 5 20908 21908
0 5 21064 22064
3 5 21219 22219
3 5 21374 22374
0 5 21530 22530
1 5 21530 22530
2 5 21530 22530
1 5 21685 22685
2 5 21841 22841
3 5 21841 22841
1 5 22152 23152
0 5 22463 23463
3 5 22463 23463
1 5 22773 23773
0 5 23084 24084
2 5 23084 24084
3 5 23395 24395
0 5 23706 24706
1 5 23706 24706
2 5 23862 24862
2 5 24017 25017
1 5 24328 25328
3 5 24328 25328
2 5 24639 25639
0 5 24950 25950
3 5 24950 25950
1 5 25260 26260
0 5 25571 26571
2 5 25571 26571
3 5 25882 26882
1 5 26193 27193
2 5 26193 27193
0 5 26504 27504
1 5 26504 27504
1 5 26815 27815
2 5 26815 27815
3 5 27126 28126
0 5 27437 28437
2 5 27437 28437
1 5 27748 28748
2 5 28058 29058
3 5 28058 29058
0 5 28369 29369
1 5 28680 29680
3 5 28680 29680
2 5 28836 29836
0 5 28991 29991
2 5 28991 29991
0 5 29146 30146
1 5 29302 30302
3 5 29302 30302
3 5 29457 30457
0 5 29613 30613
0 5 29768 30768
1 5 29924 30924
3 5 29924 30924
3 5 30079 31079
0 5 30235 31235
0 5 30390 31390
2 5 30545 31545
3 5 30545 31545
3 5 30701 31701
0 5 30856 31856
0 5 31012 32012
2 5 31167 32167
3 5 31167 32167
3 5 31323 32323
0 5 31478 32478
1 5 31478 32478
1 5 31634 32634
2 5 31789 32789
3 5 31789 32789
0 5 32100 33100
1 5 32411 33411
2 5 32411 33411
3 5 32722 33722
0 5 33033 34033
2 5 33033 34033
1 5 33343 34343
2 5 33654 34654
3 5 33654 34654
0 5 33810 34810
0 5 33965 34965
1 5 34276 35276
2 5 34276 35276
0 5 34587 35587
2 5 34898 35898
3 5 34898 35898
1 5 35209 36209
0 5 35520 36520
3 5 35520 36520
2 5 35830 36830
1 5 36141 37141
3 5 36141 37141
0 5 36297 37297
1 5 36374 37374
2 5 36452 37452
3 5 36452 37452
0 5 36763 37763
2 5 36763 37763
3 5 37074 38074
0 5 37385 38385
