Starlight (feat. Ronnie Atkins)
Avantasia
Normal
99568
0 5 79 1079
2 5 79 1079
1 5 235 1235
3 5 390 1390
0 5 545 1545
2 5 701 1701
3 5 701 1701
1 5 1012 2012
2 5 1167 2167
0 5 1323 2323
1 5 1323 2323
3 5 1478 2478
0 5 1634 2634
1 5 1789 2789
2 5 1944 2944
3 5 1944 2944
1 5 2100 3100
0 5 2566 3566
1 5 2566 3566
2 5 2722 3722
1 5 2877 3877
0 5 3033 4033
2 5 3188 4188
3 5 3188 4188
1 5 3499 4499
2 5 3654 4654
0 5 3810 4810
1 5 3810 4810
3 5 3965 4965
2 5 4121 5121
1 5 4276 5276
0 5 4431 5431
2 5 4431 5431
3 5 4587 5587
0 5 5053 6053
3 5 5053 6053
1 5 5209 6209
2 5 5364 6364
0 5 5520 6520
2 5 5675 6675
3 5 5675 6675
0 5 5986 6986
1 5 6141 7141
0 5 6297 7297
3 5 6297 7297
2 5 6452 7452
1 5 6608 7608
0 5 6763 7763
1 5 6919 7919
2 5 6919 7919
3 5 7074 8074
0 5 7540 8540
2 5 7540 8540
1 5 7696 8696
2 5 7851 8851
0 5 8007 9007
1 5 8162 9162
3 5 8162 9162
2 5 8473 9473
1 5 8628 9628
0 5 8784 9784
3 5 8784 9784
2 5 8939 9939
0 5 9095 10095
1 5 9250 10250
2 5 9406 10406
3 5 9406 10406
1 5 9561 10561
0 5 10027 11027
2 5 10027 11027
3 5 10183 11183
2 5 10338 11338
0 5 10494 11494
1 5 10649 11649
3 5 10649 11649
0 5 10960 11960
1 5 11115 12115
0 5 11271 12271
3 5 11271 12271
2 5 11426 12426
3 5 11582 12582
1 5 11737 12737
0 5 11893 12893
2 5 11893 12893
3 5 12048 13048
0 5 12514 13514
1 5 12514 13514
3 5 12670 13670
2 5 12825 13825
0 5 12981 13981
1 5 13136 14136
3 5 13136 14136
0 5 13447 14447
1 5 13602 14602
2 5 13758 14758
3 5 13758 14758
0 5 13913 14913
1 5 14069 15069
3 5 14224 15224
0 5 14380 15380
1 5 14380 15380
2 5 14535 15535
1 5 15001 16001
2 5 15001 16001
3 5 15157 16157
2 5 15312 16312
0 5 15468 16468
1 5 15623 16623
3 5 15623 16623
0 5 15934 16934
1 5 16090 17090
2 5 16245 17245
3 5 16245 17245
0 5 16400 17400
2 5 16556 17556
1 5 16711 17711
0 5 16867 17867
3 5 16867 17867
2 5 17022 18022
0 5 17488 18488
1 5 17488 18488
3 5 17644 18644
2 5 17799 18799
0 5 17955 18955
1 5 18110 19110
2 5 18110 19110
0 5 18421 19421
1 5 18577 19577
2 5 18654 19654
0 5 18732 19732
3 5 18732 19732
2 5 18887 19887
1 5 18965 19965
0 5 19043 20043
1 5 19198 20198
3 5 19354 20354
2 5 19509 20509
0 5 19665 20665
1 5 19820 20820
3 5 19976 20976
2 5 20131 21131
0 5 20286 21286
1 5 20442 21442
3 5 20597 21597
2 5 20753 21753
0 5 20908 21908
1 5 21064 22064
3 5 21219 22219
2 5 21374 22374
0 5 21530 22530
1 5 21530 22530
3 5 21685 22685
1 5 21841 22841
2 5 21841 22841
0 5 22463 23463
3 5 22463 23463
1 5 23084 24084
2 5 23084 24084
0 5 23706 24706
1 5 23706 24706
2 5 23862 24862
3 5 24017 25017
0 5 24328 25328
1 5 24328 25328
1 5 24950 25950
3 5 24950 25950
0 5 25571 26571
3 5 25571 26571
1 5 26193 27193
3 5 26193 27193
0 5 26504 27504
1 5 26815 27815
2 5 26815 27815
0 5 27437 28437
3 5 27437 28437
1 5 28058 29058
2 5 28058 29058
1 5 28680 29680
3 5 28680 29680
2 5 28836 29836
1 5 28991 29991
0 5 29146 30146
2 5 29302 30302
3 5 29457 30457
1 5 29613 30613
0 5 29768 30768
2 5 29924 30924
